horizon_periods,current_regime,feature,family,stay_mean,switch_mean,switch_minus_stay,effect_size,stay_rows,switch_rows,abs_effect_size
1,macro_tightening,ndx_pct_above_sma50,breadth_concentration,0.6339113027185099,0.5459060535512436,-0.08800524916726638,-0.5324823265980735,110,19,0.5324823265980735
1,macro_tightening,qqew_vs_qqq_nav,breadth_concentration,0.793544989281327,0.7120808209034296,-0.08146416837789738,-0.4739957422327459,110,19,0.4739957422327459
1,macro_tightening,nfci_chg_3p,macro_credit,-0.01622727272727273,0.018210526315789476,0.034437799043062205,0.46881855652733123,110,19,0.46881855652733123
1,macro_tightening,dgs2_level_z,macro_rates,0.9644960167573797,0.41364884881416036,-0.5508471679432194,-0.4385431502344395,103,17,0.4385431502344395
1,macro_tightening,spy_ret_3p,cross_asset,0.04185572005403036,0.024999694122447208,-0.016856025931583155,-0.43722096951641043,110,19,0.43722096951641043
1,macro_tightening,ndx_pct_above_sma200_chg_3p,breadth_concentration,-0.003261964990512376,-0.059162091519214574,-0.0559001265287022,-0.42328599123764543,110,19,0.42328599123764543
1,macro_tightening,sahm_realtime_level,macro_growth,-0.009,0.05263157894736842,0.06163157894736842,0.41062781054658265,110,19,0.41062781054658265
1,macro_tightening,baa10y_chg_3p,macro_credit,-0.0879090909090909,-0.01947368421052632,0.06843540669856457,0.4054434846886866,110,19,0.4054434846886866
1,macro_tightening,nfci_level_z,macro_credit,-0.3453984184682937,0.05768989645492139,0.4030883149232151,0.38881600709318787,103,17,0.38881600709318787
1,macro_tightening,move_chg_3p,cross_asset,-2.464060733,3.0662052552631565,5.530265988263157,0.3811207016258508,110,19,0.3811207016258508
1,macro_tightening,ndx_new_252d_high_low_spread_pct,breadth_concentration,0.07272433624493427,0.04371463349982621,-0.029009702745108057,-0.3795313896618031,110,19,0.3795313896618031
1,macro_tightening,qqq_dist_sma10p,qqq_state,0.07970355909945984,0.06257191842030414,-0.017131640679155694,-0.3732783180535161,109,19,0.3732783180535161
1,macro_tightening,qqq_ret_3p,qqq_state,0.052391792440038984,0.03272444633425492,-0.019667346105784064,-0.36265271092559054,110,19,0.36265271092559054
1,macro_tightening,ndx_current_top10_market_cap_weight_pct,breadth_concentration,67.42971569121414,67.42971569121411,-2.842170943040401e-14,-0.3320388300611682,110,19,0.3320388300611682
1,macro_tightening,lqd_agg_ratio_ret_3p,cross_asset,0.0009439164769273877,-0.0024295854314798286,-0.0033735019084072163,-0.31935576376553243,110,19,0.31935576376553243
1,macro_tightening,qqq_ret_6p,qqq_state,0.11761712841325027,0.0957369788739898,-0.02188014953926047,-0.3067051522506711,107,19,0.3067051522506711
1,macro_tightening,ndx_net_advancers_pct,breadth_concentration,-0.02864116673466449,-0.15807009693833793,-0.12942893020367344,-0.2816236297656479,110,19,0.2816236297656479
1,macro_tightening,vix_chg_3p,cross_asset,-0.11499990909090892,0.8447363157894735,0.9597362248803825,0.27236825439897727,110,19,0.27236825439897727
1,macro_tightening,core_cpi_yoy_chg_3p,macro_growth,-0.00021197651858282008,0.0008442473905306248,0.001056223909113445,0.25820547833280794,103,17,0.25820547833280794
1,macro_tightening,breakeven_curve_10y5y_level_z,macro_rates,-0.24340170709774978,-0.47197903522690415,-0.22857732812915438,-0.23869243159023154,103,17,0.23869243159023154
1,macro_tightening,pce_yoy_chg_3p,macro_growth,0.00030880524504894115,0.0014581657042919466,0.0011493604592430055,0.2290265987837319,103,17,0.2290265987837319
1,macro_tightening,qqq_ret_12p,qqq_state,0.2210471923678892,0.19861723839132772,-0.022429953976561473,-0.2060469135650503,105,18,0.2060469135650503
1,macro_tightening,dgs10_level_z,macro_rates,0.5208826688336301,0.3466563838034502,-0.1742262850301799,-0.180632320989194,103,17,0.180632320989194
1,macro_tightening,ndx_net_advancers_pct_chg_3p,breadth_concentration,-0.054759355302728775,-0.16432576498860435,-0.10956640968587558,-0.17246639086687968,110,19,0.17246639086687968
1,macro_tightening,qqq_drawdown_3p,qqq_state,-0.01080187764820275,-0.013726865313853335,-0.0029249876656505854,-0.15179784924094616,110,19,0.15179784924094616
1,macro_tightening,lqd_ret_3p,cross_asset,0.0019118205403262558,-0.001682662756306025,-0.003594483296632281,-0.15008198609472753,110,19,0.15008198609472753
1,macro_tightening,yield_curve_10y2y_chg_3p,macro_rates,-0.02372727272727271,-0.06368421052631575,-0.03995693779904304,-0.1477222995722087,110,19,0.1477222995722087
1,macro_tightening,payems_yoy_chg_3p,macro_growth,-0.0011335719105393547,-0.00031416210330674244,0.0008194098072326122,0.12560617446605474,103,17,0.12560617446605474
1,macro_tightening,move_chg_1p,cross_asset,-0.2798471145454543,1.11222042368421,1.3920675382296643,0.12021231886751806,110,19,0.12021231886751806
1,macro_tightening,real_yield_10y_chg_3p,macro_rates,0.11681818181818183,0.08473684210526315,-0.03208133971291868,-0.11673580952006814,110,19,0.11673580952006814
1,macro_tightening,qqq_ret_1p,qqq_state,0.015083438330318359,0.011588176314320414,-0.003495262015997945,-0.10166047867519001,110,19,0.10166047867519001
1,macro_tightening,qqq_minus_spy_ret_3p,cross_asset,0.010536072386008623,0.007724752211807713,-0.0028113201742009097,-0.09044606922426086,110,19,0.09044606922426086
1,macro_tightening,t10yie_chg_3p,macro_rates,0.042636363636363646,0.056842105263157895,0.01420574162679425,0.087090561215056,110,19,0.087090561215056
1,macro_tightening,ndx_new_252d_high_low_spread_pct_chg_3p,breadth_concentration,-0.010062260312388698,-0.018041836191093587,-0.00797957587870489,-0.08128182316017352,110,19,0.08128182316017352
1,macro_tightening,dgs2_chg_3p,macro_rates,0.18318181818181817,0.20526315789473684,0.022081339712918674,0.07668169199860146,110,19,0.07668169199860146
1,macro_tightening,t5yie_chg_3p,macro_rates,0.0649090909090909,0.07999999999999999,0.015090909090909085,0.06701055507557246,110,19,0.06701055507557246
1,macro_tightening,dgs10_chg_3p,macro_rates,0.1594545454545455,0.1415789473684211,-0.017875598086124378,-0.05829602816571431,110,19,0.05829602816571431
1,macro_tightening,unrate_chg_6p,macro_growth,-0.2915887850467289,-0.3105263157894738,-0.0189375307427449,-0.04890156565975267,107,19,0.04890156565975267
1,macro_tightening,policy_rate_chg_3p,macro_rates,0.08300000000000002,0.09368421052631583,0.01068421052631581,0.03955334774207834,110,19,0.03955334774207834
1,macro_tightening,dxy_ret_3p,cross_asset,0.004244325334951587,0.005264691404543442,0.0010203660695918557,0.030569692240537287,110,19,0.030569692240537287
1,macro_tightening,agg_ret_3p,cross_asset,0.0008576750627848543,0.0006329057303498151,-0.00022476933243503912,-0.014389273356749369,110,19,0.014389273356749369
1,macro_tightening,indpro_yoy_chg_3p,macro_growth,-0.0038810444284780904,-0.004106887360684254,-0.0002258429322061638,-0.011859028091462987,103,17,0.011859028091462987
1,macro_tightening,rsafs_yoy_chg_3p,macro_growth,-0.004765392835343686,-0.0050789055602298815,-0.0003135127248861955,-0.007964702446334635,103,17,0.007964702446334635
1,macro_tightening,vix_chg_1p,cross_asset,0.10309090909090914,0.11157842105263174,0.008487511961722607,0.0025300777903984094,110,19,0.0025300777903984094
1,macro_tightening,ndx_current_top10_market_cap_weight_pct_chg_3p,breadth_concentration,0.0,0.0,0.0,,110,19,
1,macro_tightening,sahm_realtime_trigger,macro_growth,0.0,0.0,0.0,,110,19,
1,risk_off_stress,qqq_rv_3p,qqq_state,0.24434174172761533,0.17993275842018994,-0.0644089833074254,-0.769332034076938,22,19,0.769332034076938
1,risk_off_stress,pce_yoy_chg_3p,macro_growth,0.002719009417446486,-0.0028961199954363813,-0.005615129412882867,-0.7091483709075863,22,17,0.7091483709075863
1,risk_off_stress,qqq_ret_1p,qqq_state,-0.07050673634476784,-0.03722298738585174,0.0332837489589161,0.6998800483934835,22,19,0.6998800483934835
1,risk_off_stress,lqd_ret_3p,cross_asset,-0.02904532182477981,0.007622469491093383,0.036667791315873194,0.6711566291344612,22,19,0.6711566291344612
1,risk_off_stress,lqd_agg_ratio_ret_3p,cross_asset,-0.025091591135083705,-0.006291840135113653,0.01879975099997005,0.6443604853700933,22,19,0.6443604853700933
1,risk_off_stress,move_chg_3p,cross_asset,26.634899952272725,7.659389452105266,-18.97551050016746,-0.6443266726124188,22,19,0.6443266726124188
1,risk_off_stress,agg_ret_3p,cross_asset,-0.0043715563323930414,0.013465059138650102,0.017836615471043142,0.5294413161506838,22,19,0.5294413161506838
1,risk_off_stress,ndx_current_top10_market_cap_weight_pct,breadth_concentration,67.42971569121413,67.42971569121411,-1.4210854715202004e-14,-0.49386479832479485,22,19,0.49386479832479485
1,risk_off_stress,vix_chg_1p,cross_asset,5.872272727272726,2.2036847368421055,-3.6685879904306207,-0.49071155457215004,22,19,0.49071155457215004
1,risk_off_stress,qqq_drawdown_3p,qqq_state,-0.11001126549231342,-0.08500229563258564,0.02500896985972778,0.4804237933895352,22,19,0.4804237933895352
1,risk_off_stress,yield_curve_10y2y_chg_3p,macro_rates,0.034545454545454546,-0.17842105263157892,-0.21296650717703347,-0.474933059335791,22,19,0.474933059335791
